id,name,path,parent_path,mimeType,size,fileExtension,md5Checksum,width,height,durationMillis,createdTime,modifiedTime,issues
1lutCUwQ5mIzhhQaOwZr_zCfg5UYWQj-3,CC_US_EN_VID_APROBACION_PV_007__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_007__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1363394,mp4,53ed600acae2bb0e2ac8560fee6e1592,,,,2026-06-14T16:29:50.975Z,2026-06-14T16:29:50.975Z,NAME_NOT_CANONICAL
1vyxckYf6rYFLSDvcp8mbhgftYLzvIWo0,CC_US_EN_VID_LIMITE_ALTO_NV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_NV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,461483,mp4,041a95a5ac54ac1264fbd0269d245963,,,,2026-06-14T16:35:37.172Z,2026-06-14T16:35:37.172Z,NAME_NOT_CANONICAL
1N8UpkNLNfgSSIzKvBERJpLml-EhtoF8E,CC_US_EN_VID_LIMITE_ALTO_NV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_NV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,455027,mp4,2a9ba4e38e7944c2cc88a9b916e5b07f,,,,2026-06-14T16:35:40.796Z,2026-06-14T16:35:40.796Z,NAME_NOT_CANONICAL
1FFgbsOVIfAAVi3kVqs2gqH1ooXSAaGNo,CC_US_EN_VID_LIMITE_ALTO_NV_003__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_NV_003__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,598017,mp4,300de6652c14e98ee8bdcfa35bd97abb,,,,2026-06-14T16:35:44.721Z,2026-06-14T16:35:44.721Z,NAME_NOT_CANONICAL
1Ie8d7xqm9087IydTElzdhqzk6tBJbri5,CC_US_EN_VID_LIMITE_ALTO_NV_004__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_NV_004__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,521168,mp4,e99eaad66777de895717ef8cdf818b35,,,,2026-06-14T16:35:48.395Z,2026-06-14T16:35:48.395Z,NAME_NOT_CANONICAL
1qfJCibyVGrzZ2uWBGu7bXztAm05r5n7Y,CC_US_EN_VID_LIMITE_ALTO_NV_005__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_NV_005__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,546092,mp4,767ecfc409a722ef7a93cfb91f3bac8a,,,,2026-06-14T16:35:52.860Z,2026-06-14T16:35:52.860Z,NAME_NOT_CANONICAL
1-EFhAHheCBh_uMBEqfBZA_WbxNfTV1d0,CC_US_EN_VID_LIMITE_ALTO_NV_006__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_NV_006__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,645527,mp4,a9fd0bb6d20e65d516c2ba4510007e00,,,,2026-06-14T16:35:56.752Z,2026-06-14T16:35:56.752Z,NAME_NOT_CANONICAL
1d4c-Bx9hCfCV7xODpe7oAFI8j7_NTcu3,CC_US_EN_VID_LIMITE_ALTO_NV_007__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_NV_007__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,624583,mp4,fded52a59cc1d2852ed372e46d9101be,,,,2026-06-14T16:36:00.477Z,2026-06-14T16:36:00.477Z,NAME_NOT_CANONICAL
1ZXWkxmzNYcdKMKqxbU2w0JLJgze4Ei4x,CC_US_EN_VID_LIMITE_ALTO_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1360624,mp4,8ee4dee852cc22f89692e962becb480d,,,,2026-06-14T16:38:19.232Z,2026-06-14T16:38:19.232Z,NAME_NOT_CANONICAL
1V6DTerPkzg4ZuFD5RoAN0j2VA_D_J-ji,CC_US_EN_VID_LIMITE_ALTO_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,710817,mp4,e25741d5800a05c1a504888c8861b005,,,,2026-06-14T16:38:23.003Z,2026-06-14T16:38:23.003Z,NAME_NOT_CANONICAL
1JCY2IMFzIouNy0LAEw0x5LuthIeNNj3W,CC_US_EN_VID_LIMITE_ALTO_PV_003__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_003__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,2848041,mp4,642efa13cee42836eca3853cd72f6d02,,,,2026-06-14T16:38:26.797Z,2026-06-14T16:38:26.797Z,NAME_NOT_CANONICAL
1ETXqXXphHt3G_oCKSq1cFTFFShS7E0EO,CC_US_EN_VID_LIMITE_ALTO_PV_004__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_004__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1064297,mp4,2a992d24eb5423cc5773cacce9e43948,,,,2026-06-14T16:38:30.686Z,2026-06-14T16:38:30.686Z,NAME_NOT_CANONICAL
1agLrr27ccnDoQ52vkL8cVWvUT-axsivT,CC_US_EN_VID_LIMITE_ALTO_PV_005__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_005__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1191671,mp4,22a6e2dec0945197c50ca73c159575bb,,,,2026-06-14T16:38:34.496Z,2026-06-14T16:38:34.496Z,NAME_NOT_CANONICAL
1S92ESaDh9xEUqe8flnGopDg_iiLkuBFH,CC_US_EN_VID_LIMITE_ALTO_PV_006__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_006__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,2906374,mp4,5f428060ec8f5a0e16e1e56d81217450,,,,2026-06-14T16:38:38.970Z,2026-06-14T16:38:38.970Z,NAME_NOT_CANONICAL
1yc_wY5R34unabu2mGhkZPfw3-pVlUW_m,CC_US_EN_VID_LIMITE_ALTO_PV_007__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_007__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,7569621,mp4,ca5cc0ffd9edaa3e9edc80307bd39bfe,,,,2026-06-14T16:38:43.584Z,2026-06-14T16:38:43.584Z,NAME_NOT_CANONICAL
1Z2umIfXflmgSOSdpNdKSF48i23HBBkXf,CC_US_EN_VID_LIMITE_ALTO_PV_008__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_008__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,8521537,mp4,4a2566ab19207a3609f46c8b818918d2,,,,2026-06-14T16:38:48.663Z,2026-06-14T16:38:48.663Z,NAME_NOT_CANONICAL
1mWBXXhBuYQFjZo7F6N3fWQ5wMDWftNVG,CC_US_EN_VID_LIMITE_ALTO_PV_009__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_LIMITE_ALTO_PV_009__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,7563953,mp4,e4719418319fff049f5d527d6f16d118,,,,2026-06-14T16:38:53.060Z,2026-06-14T16:38:53.060Z,NAME_NOT_CANONICAL
