drive_id,filename,relative_path,format,width,height,placement_fit,vertical_guess,language_guess,name_status,issues,recommended_action
1Vr7V53QG5CTM-RGCfP2aQtkdFKi6bInB,20 - Feed Alemao__DAGT9Bv6dF8.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/20 - Feed Alemao__DAGT9Bv6dF8.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1t-L7qT87cOgx311qyTe4r6ByDd5yM3XE,20 - Feed ingles__DAGV1Hna8l8.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/20 - Feed ingles__DAGV1Hna8l8.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1C5ocASWuakUwWWghpVDHb-ykvnjGex9c,21 - Feed Alemao__DAGT9AtIKc0.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/21 - Feed Alemao__DAGT9AtIKc0.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1SVY2vGm7G6OWz8liX6uCPDcEa7toapkY,21 - Feed ingles__DAGV1TcOtKY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/21 - Feed ingles__DAGV1TcOtKY.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1CPOy526K_T4AYoGdt6BsYaMAG_h-4eDq,22 - feed alemao__DAGT9TqS1hc.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/22 - feed alemao__DAGT9TqS1hc.png,IMG,1080,1080,FEED,CC,DE,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1-nI2lTIgQfEyHTNkswu1OyEGihc1rzZ2,22 - Feed ingles__DAGV1WbgCfM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/22 - Feed ingles__DAGV1WbgCfM.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
12JqcyTmhqM6giwzKOxlHrRrHwXRUgILM,22 - Feed KELLY espanhol__DAHKNm5nWJs.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/22 - Feed KELLY espanhol__DAHKNm5nWJs.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
19RlLxeyGw8j5EOBTFMoX7bgPRU_PS6ba,23 - Feed KELLY espanhol__DAHKNtJ168w.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/23 - Feed KELLY espanhol__DAHKNtJ168w.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1uZHrP063L7Td_X2fJSpx-sGo3bBoVDtp,24 - Feed KELLY espanhol__DAHKNrniHRw.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/24 - Feed KELLY espanhol__DAHKNrniHRw.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1Gy0DJAh1oFR7yeijgaN1c8_KO9eSAsEX,25 - Feed espanhol__DAGTMq6sGgQ.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/25 - Feed espanhol__DAGTMq6sGgQ.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
127SOQ_TES7myw-NYlEVaDClSPNLejljx,26 - Feed espanhol KELLY 1080 x 1080 px__DAGy_5bTL10.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/26 - Feed espanhol KELLY 1080 x 1080 px__DAGy_5bTL10.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
14qvwSJ1xhX54yOX7g1uK5Uubn3IJ3BtQ,26 - Feed espanhol__DAGTMoiPKpo.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/26 - Feed espanhol__DAGTMoiPKpo.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1EbPZbFtJchPpCVcvGLUhxtptxtA2nSzP,26 - Feed ingles__DAGWOb4WsME.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/26 - Feed ingles__DAGWOb4WsME.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1IdJXJQvHSNGU9IVaoYVj3v4dD4m5mbon,26 - Feed ingles.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/26 - Feed ingles.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1JTM_gmLDw90W64EtYIDC-k89HwHrX0IR,27 - Feed espanhol KELLY 1080 x 1080 px__DAGy_w_SJfw.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/27 - Feed espanhol KELLY 1080 x 1080 px__DAGy_w_SJfw.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1KSSqxdMG1KrHCppASvcW6E14fpqwGTGJ,27 - Feed ingles.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/27 - Feed ingles.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1C1bokNEjBEpK4oKdY_052lroca1S6IaA,27- Feed espanhol__DAGTMviXH0E.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/27- Feed espanhol__DAGTMviXH0E.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1gRoNFGUPta2VAtueXclzFLE5RpFTuyMp,28 - Feed espanhol KELLY 1080 x 1080 px__DAGy_wZyDv4.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/28 - Feed espanhol KELLY 1080 x 1080 px__DAGy_wZyDv4.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1_TQFAtSSfLtIkdKEQpukd8_jTbR-J9Cg,28 - Feed espanhol__DAGTREZKuxo.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/28 - Feed espanhol__DAGTREZKuxo.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
15tScBRNo2-Me55wHx_TQQ5B62pg6cKAR,28 - Feed ingles__DAGWOif_Kys.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/28 - Feed ingles__DAGWOif_Kys.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
