dedup_key,kept_drive_id,skipped_drive_id,kept_relative_path,skipped_relative_path,reason,kept_score,skipped_score
md5:9441be51fc3f24cc159c93623f47ede4,1DQjsckP1SsVPvrevILsCVkQFy9pG4HeK,1h1ihE3hm3cONsJ3WDY4IZ5zQcqcVfzs_,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/06 - IA - Story Mexico__DAHGCSSTnt0.mp4,UPLOAD_CANVAS/downloads/NICOLAS/06 - IA - Story (Mexico)__DAHGCSSTnt0.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:9b627eb9a90436c8098d10c4dff43d84,1fRDkL_4xt4mDh91oh88K2xaihx3pvk6o,14bNYNGPU74IDEJ552hJvM7dqgPwd6ODi,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/DE/07 - IA - Story Alemao__DAHANC4Uq10.mp4,UPLOAD_CANVAS/downloads/NICOLAS/07 - IA - Story (Alemao)__DAHANC4Uq10.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:d1d43d118a2993eb7b853eef9a90c7f9,1-h-2Tpp79npoiZrlWM3cZtzzCyGN1Csh,1K7MLqpiuS8ORINaYK-2XMSpJtoYEWN65,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/07 - IA - Story Espanhol__DAHEbjHh7uw.mp4,UPLOAD_CANVAS/downloads/NICOLAS/07 - IA - Story (Espanhol)__DAHEbjHh7uw.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:74df3d1f100ca4e89a05da1e0eb13027,1TPeQQ9d8P4ROODveD4MCt0VXdUyfmshy,189biBosyjFJxOtwBth8Zc_nmXzMe5_JS,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/07 - IA - Story Mexico__DAHFL3JDZDU.mp4,UPLOAD_CANVAS/downloads/NICOLAS/07 - IA - Story (Mexico)__DAHFL3JDZDU.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:2ae316a4a64dae551c0b5fe6762576eb,1ZwfIZKI7NyecIf5vycBYP-VdeaIvQ1So,1Bt5D6A8gm3NKdY0r2Y6g_HjWN7X-9ZZU,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/08 - IA - Story Mexico__DAHFbag_RLc.mp4,UPLOAD_CANVAS/downloads/NICOLAS/08 - IA - Story (Mexico)__DAHFbag_RLc.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:700c8e815d4767f29f79b86719b8c09e,1wJoVBvqrXnKsMYp6UPtGQUiY-Dm4LuKk,1ocEEpOeprvIoRiwLN4UZraXelv5P2m5U,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/08 - Story ingles__DAGVqE3wEs4.mp4,UPLOAD_CANVAS/downloads/NICOLAS/08 - Story (ingles)__DAGVqE3wEs4.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:9fda3a1b8f0dc8afe2787d469708a8a9,1JnnBMeaTBJolIlqNEsuiQWvxWk8u9m0L,1T4TbfX8SN9UPuIhdLUOmtInaHHqOqdm7,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/DE/09 - Feed alemanha__DAGSc0eVkGQ.png,UPLOAD_CANVAS/downloads/NICOLAS/09 - Feed (alemanha)__DAGSc0eVkGQ.png,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:e60bb16d55fefc7f39cacfcc5f65e751,14uJ1V1ZfkJ8ozygsUAeDuHHaX3enZ-Yl,1ZR8-gw08NV3nNi1qHlK2VYfr90iy7Zbg,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/09 - IA - Story Ingles__DAHAY1PIhSg.mp4,UPLOAD_CANVAS/downloads/NICOLAS/09 - IA - Story (Ingles)__DAHAY1PIhSg.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:d013e87927ad63ee4294b43ae11919e2,1T4ns4hU8XqavPpVWveSQ2GsBJB8AO6Yu,1Yl6JErkdssy8ICKrGCpnP0zTEPu-_YNn,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/09 - IA - Story Mexico__DAHFbtG9ADQ.mp4,UPLOAD_CANVAS/downloads/NICOLAS/09 - IA - Story (Mexico)__DAHFbtG9ADQ.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,44
md5:1e752a2d5aea5daadecc0cfa392392a0,1SmQjhMVrZ5zYfdGoy40OSrdY0rVqFJvq,1KZAtlTKbSC6u44A6sO3tSrgNhyLrwGFU,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/DE/09 - Story alemanha__DAGScwbKPCY.mp4,UPLOAD_CANVAS/downloads/NICOLAS/09 - Story (alemanha)__DAGScwbKPCY.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:73343eea0e036b9daa239bf5a22d9ff4,1eSgm9nZHAv20CUO3YR3aeDw8_EEEztvZ,1qW2W-KyoQRJxgXejeGy9UosAjvRdyDPA,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/09 - Story ingles__DAGVqR__buM.mp4,UPLOAD_CANVAS/downloads/NICOLAS/09 - Story (ingles)__DAGVqR__buM.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
