upload_scope,organized_scope,filename,upload_path,organized_path
UPLOAD_CC_IMG,ORG_CC_IMG,32 - Feed espanhol__DAGTRXWmSbg.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/32 - Feed espanhol__DAGTRXWmSbg.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/32 - Feed espanhol__DAGTRXWmSbg.png
UPLOAD_CC_IMG,ORG_CC_IMG,31 - Feed espanhol__DAGTRUYxKjc.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/31 - Feed espanhol__DAGTRUYxKjc.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/31 - Feed espanhol__DAGTRUYxKjc.png
UPLOAD_CC_IMG,ORG_CC_IMG,42 - Feed ingles__DAGYMAYjdqw.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/42 - Feed ingles__DAGYMAYjdqw.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/42 - Feed ingles__DAGYMAYjdqw.png
UPLOAD_CC_IMG,ORG_CC_IMG,43 - Feed ingles__DAGYMGMaURI.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/43 - Feed ingles__DAGYMGMaURI.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/43 - Feed ingles__DAGYMGMaURI.png
UPLOAD_CC_IMG,ORG_CC_IMG,44 - Feed ingles__DAGYMeSu83c.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/44 - Feed ingles__DAGYMeSu83c.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/44 - Feed ingles__DAGYMeSu83c.png
UPLOAD_CC_IMG,ORG_CC_IMG,46 - Feed ingles__DAGYMSHS8vY.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/46 - Feed ingles__DAGYMSHS8vY.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/46 - Feed ingles__DAGYMSHS8vY.png
UPLOAD_CC_IMG,ORG_CC_IMG,48 - Feed ingles__DAGYMaNezoY.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/48 - Feed ingles__DAGYMaNezoY.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/48 - Feed ingles__DAGYMaNezoY.png
UPLOAD_CC_IMG,ORG_CC_IMG,40 - Feed ingles__DAGYL_Ign24.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/40 - Feed ingles__DAGYL_Ign24.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/40 - Feed ingles__DAGYL_Ign24.png
UPLOAD_CC_IMG,ORG_CC_IMG,61 - Feed ingles__DAGYnUlT2Ow.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/61 - Feed ingles__DAGYnUlT2Ow.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/61 - Feed ingles__DAGYnUlT2Ow.png
UPLOAD_CC_IMG,ORG_CC_IMG,65 - Feed ingles__DAGeNL0drIw.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/65 - Feed ingles__DAGeNL0drIw.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/65 - Feed ingles__DAGeNL0drIw.png
UPLOAD_CC_IMG,ORG_CC_IMG,57 - Feed Ingles__DAGqM7foxhM.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/57 - Feed Ingles__DAGqM7foxhM.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/57 - Feed Ingles__DAGqM7foxhM.png
UPLOAD_CC_IMG,ORG_CC_IMG,58 - Feed Ingles__DAGqMyCB-Jk.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/58 - Feed Ingles__DAGqMyCB-Jk.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/58 - Feed Ingles__DAGqMyCB-Jk.png
UPLOAD_CC_IMG,ORG_CC_IMG,45 - Feed 1080 x 1080 px__DAG4ggz6gUA.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/45 - Feed 1080 x 1080 px__DAG4ggz6gUA.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/45 - Feed 1080 x 1080 px__DAG4ggz6gUA.png
UPLOAD_CC_IMG,ORG_CC_IMG,46 - Feed ingles 1080 x 1080 px__DAG4g6vPrxo.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/46 - Feed ingles 1080 x 1080 px__DAG4g6vPrxo.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/46 - Feed ingles 1080 x 1080 px__DAG4g6vPrxo.png
UPLOAD_CC_IMG,ORG_CC_IMG,57 - Feed (Ingles) +2 RM GP 1080 px × 1080 px há 11 meses.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/57 - Feed (Ingles) +2 RM GP 1080 px × 1080 px há 11 meses.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/57 - Feed (Ingles) +2 RM GP 1080 px × 1080 px há 11 meses.png
UPLOAD_CC_IMG,ORG_CC_IMG,58 - Feed (Ingles) +2 RM GP 1080 px × 1080 px há 11 meses.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/58 - Feed (Ingles) +2 RM GP 1080 px × 1080 px há 11 meses.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/58 - Feed (Ingles) +2 RM GP 1080 px × 1080 px há 11 meses.png
UPLOAD_CC_IMG,ORG_CC_IMG,45 - Feed (1080 x 1080 px) +2 RM GP 1080 px × 1080 px há 6 meses.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/45 - Feed (1080 x 1080 px) +2 RM GP 1080 px × 1080 px há 6 meses.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/45 - Feed (1080 x 1080 px) +2 RM GP 1080 px × 1080 px há 6 meses.png
UPLOAD_CC_IMG,ORG_CC_IMG,46 - Feed (ingles) (1080 x 1080 px) +2 RM GP 1080 px × 1080 px há 6 meses.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/46 - Feed (ingles) (1080 x 1080 px) +2 RM GP 1080 px × 1080 px há 6 meses.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/46 - Feed (ingles) (1080 x 1080 px) +2 RM GP 1080 px × 1080 px há 6 meses.png
